,City,Var,Phase,Period,Dtype,Ttype,Mean Obs,Mean Pred,Mean O-P,Mean abs(O-P),StdD Obs,StdD Pred,StdD O-P,StdD abs(O-P),abs(O-P)/Std,Month
39,DENVER,TMIN,0,3,0,1,34.41666666666666,35.999753881383825,-1.5830872147171593,3.0399920145670585,3.02329009836435,2.70037080463136,3.6320362424723838,2.5157937488320004,1.005524417326589,4
40,DENVER,TMIN,0,3,0,1,44.06481481481481,46.586234622531464,-2.5214198077166525,3.6535932752821174,2.377659972786579,3.3092256988606708,3.8720744744744064,2.805328072098938,1.5366340507470315,5
41,DENVER,TMIN,0,3,0,1,52.91666666666665,55.30031868263527,-2.3836520159686048,3.1968662968388313,2.6827013983022465,3.111259934121431,3.3169091921768485,2.525490802838032,1.1916593844033387,6
42,DENVER,TMIN,0,3,0,1,59.02037037037036,56.957936180962456,2.062434189407914,3.242440937183522,2.073951622371099,2.871258497341427,3.706913733043332,2.713542290583995,1.563412040188535,7
43,DENVER,TMIN,0,3,0,1,57.41698113207547,55.22521713544737,2.1917639966280955,3.199650055507443,1.910168724832826,2.8973398960816286,3.480748213203989,2.5646010193952393,1.6750614822193102,8
44,DENVER,TMIN,0,3,0,1,48.16981132075472,48.81296992751787,-0.6431586067631558,3.30502982949311,2.694623200836205,4.158525027973551,4.261318152978643,2.7289478047219577,1.2265276378780832,9
45,DENVER,TMIN,0,3,0,1,36.78867924528302,36.28054784378916,0.5081314014938643,4.300260687774083,2.6225838974156837,4.657882277513437,5.419392627542778,3.284070231990891,1.6397037639145104,10
46,DENVER,TMIN,0,3,0,1,25.269811320754723,24.04189620827729,1.2279151124774292,3.563879372938624,2.9116863277846114,3.4116953786149096,4.406164414211164,2.829410773426271,1.2239915195982807,11
47,DENVER,TMIN,0,3,0,1,18.500000000000004,18.56543033527878,-0.06543033527878059,3.5588325932340794,4.03108116819984,2.101537254156996,4.586368384856873,2.851365591241947,0.8828481602674717,12
48,DENVER,TMAX,0,0,0,1,43.98703703703704,55.60705983197248,-11.620022794935439,11.871664612381549,5.2106221805113,6.675849714652936,8.494504723797277,8.132255654130965,2.278358361268985,1
49,DENVER,TMAX,0,0,0,1,47.042592592592605,51.18182217633283,-4.139229583740233,6.44302803322121,5.424528563181716,4.108444403669771,7.033936456297353,4.963555672641998,1.187758154128347,2
50,DENVER,TMAX,0,0,0,1,52.37037037037039,52.07695120352286,0.2934191668475113,4.604503914161964,4.70449923666534,4.497314413418849,6.052096267052343,3.8876862901557545,0.9787447467896169,3
51,DENVER,TMAX,0,0,0,1,61.35,59.03066098248517,2.319339017514829,5.258000126591436,4.427178069648583,5.197369615721957,7.07051401807718,5.225399523165582,1.1876640252260737,4
52,DENVER,TMAX,0,0,0,1,70.77962962962964,66.87294783415618,3.906681795473451,6.133301600703486,3.832255340176731,5.238691795769207,6.553120972122701,4.490698374034964,1.6004417911309214,5
53,DENVER,TMAX,0,0,0,1,81.72407407407407,72.00876031098542,9.715313763088652,10.428294132373955,4.091036459769605,5.151386324709454,7.218247693292133,6.121284317059197,2.5490592017264113,6
54,DENVER,TMAX,0,0,0,1,88.15370370370373,75.74347086305971,12.410232840643987,12.433446092958802,2.583015128843633,5.549939992826804,6.175691223938622,6.127934262459255,4.813539786940783,7
55,DENVER,TMAX,0,0,0,1,85.86226415094339,77.9794538965765,7.882810254366894,8.190117371757076,2.3104467113105005,6.011089714027122,6.070161938745228,5.640261863199515,3.5448198530887507,8
56,DENVER,TMAX,0,0,0,1,77.46037735849056,77.52068703129606,-0.06030967280549839,4.629752191507591,3.512906950016967,5.942872796399547,6.32382479167642,4.260006795276112,1.3179262238885177,9
57,DENVER,TMAX,0,0,0,1,66.2924528301887,74.65286391636111,-8.360411086172428,10.252706117450066,4.418529561212548,7.034706791738684,8.492298988270662,6.018330016688667,2.320388711994151,10
58,DENVER,TMAX,0,0,0,1,52.25471698113208,70.92522358444502,-18.670506603312944,18.67351385152565,4.816580579213042,7.927310238144352,8.808329980178515,8.801830186551562,3.8769233784056465,11
59,DENVER,TMAX,0,0,0,1,45.29811320754717,64.6153234805701,-19.317210273022916,19.317210273022916,4.727964701402372,8.214309968596009,9.615448640056274,9.615448640056274,4.085734876001337,12
60,DENVER,TMAX,0,1,0,1,43.96792452830189,44.51588303188108,-0.5479585035791941,4.353335902375994,5.258574447981478,3.643827031024439,5.4839729085348505,3.326259992801256,0.8278547628144804,1
61,DENVER,TMAX,0,1,0,1,47.042592592592605,47.585299809773765,-0.5427072171811701,4.637736073246708,5.424528563181716,3.090523390702047,6.391458705765148,4.385933680885872,0.8549565218855588,2
62,DENVER,TMAX,0,1,0,1,52.37037037037039,53.34235226666486,-0.9719818962944881,3.524008433024087,4.70449923666534,3.020667792959475,4.5319353035323955,2.974569303131912,0.7490719534098569,3
63,DENVER,TMAX,0,1,0,1,61.35,62.66770468817817,-1.3177046881781689,5.603399460404008,4.427178069648583,5.93669968006916,7.098354788708351,4.490572944465927,1.2656819699255488,4
64,DENVER,TMAX,0,1,0,1,70.77962962962964,70.89287877965856,-0.11324915002893529,6.090346272786458,3.832255340176731,6.507526498560702,7.442620222614373,4.196842904178426,1.589232901298688,5
65,DENVER,TMAX,0,1,0,1,81.72407407407407,80.07724097922996,1.6468330948441119,4.792180916115091,4.091036459769605,5.210816113547956,5.963326238827171,3.86344279386819,1.1713855310849446,6
66,DENVER,TMAX,0,1,0,1,88.15370370370373,83.83971447414822,4.313989229555483,5.012700596562138,2.583015128843633,3.4096566404648145,4.289925441411221,3.4298455018482077,1.9406392709771811,7
67,DENVER,TMAX,0,1,0,1,85.86226415094339,85.57771459615455,0.28454955478884225,2.4415390014648435,2.3104467113105005,2.7979751730845916,3.1408310093615084,1.96763703100305,1.0567389368958813,8
68,DENVER,TMAX,0,1,0,1,77.46037735849056,78.95799874359707,-1.4976213851065008,5.899290869370945,3.512906950016967,6.0916872977646594,7.4554060650826655,4.7326722462323465,1.6793188528214367,9
69,DENVER,TMAX,0,1,0,1,66.2924528301887,67.49845670304208,-1.2060038728534044,6.761227762474206,4.418529561212548,7.979148226879415,8.34583483550092,4.953993787060333,1.5301986031341086,10
70,DENVER,TMAX,0,1,0,1,52.25471698113208,56.958047686882736,-4.7033307057506635,7.292921965976928,4.816580579213042,7.727902438463375,8.970883337332936,6.9866977472232845,1.5141285079815863,11
71,DENVER,TMAX,0,1,0,1,45.29811320754717,47.7893077202563,-2.491194512709132,4.758956175030403,4.727964701402372,3.6309619721391635,6.024250548589187,4.4197054218767935,1.0065549291471738,12
72,DENVER,TMAX,0,2,0,1,43.96792452830189,45.389725739101195,-1.4218012107993074,4.040743817023509,5.258574447981478,1.9241869201311852,5.171940951703038,3.488232237677115,0.7684104992703037,1
73,DENVER,TMAX,0,2,0,1,46.93773584905661,47.74613484796488,-0.8083989989082765,4.565564871734044,5.420907758750598,2.00785895264678,5.879323438518524,3.739957808088223,0.8422140857062486,2
74,DENVER,TMAX,0,2,0,1,52.37037037037039,53.377448894359446,-1.0070785239890772,3.71146028306749,4.70449923666534,2.2537404751710364,4.50145577060551,2.6947365881611223,0.7889171825433775,3
75,DENVER,TMAX,0,2,0,1,61.35,63.42254829406738,-2.0725482940673836,5.172154645566588,4.427178069648583,4.467506672126043,5.983918280269398,3.595533030249392,1.168273460926576,4
76,DENVER,TMAX,0,2,0,1,70.77962962962964,74.42130279541016,-3.6416731657805266,5.48445841471354,3.832255340176731,4.994985434570129,5.989206458500662,4.328484955853611,1.4311307383971483,5
